title,content
['G7外长又集结，张嘴就是中俄！'],　　原标题：G7外长又集结，张嘴就是中俄！　　　　　　　　　　　　　　　　　　　　
title,content
['国家卫健委：11日新增新冠肺炎确诊病例75例 其中本土病例49例'],　　原标题：国家卫健委：11日新增新冠肺炎确诊病例75例 其中本土病例49例　　新华社北京12月12日电 国家卫生健康委员会12日通报，12月11日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增新冠肺炎确诊病例75例。其中境外输入病例26例（上海8例，广西8例，山东2例，四川2例，云南2例，辽宁1例，福建1例，广东1例，陕西1例），含1例由无症状感染者转为确诊病例（在四川）；本土病例49例（浙江38例，其中绍兴市22例、杭州市8例、宁波市8例；内蒙古10例，均在呼伦贝尔市；黑龙江1例，在哈尔滨市），含20例由无症状感染者转为确诊病例（均在浙江）。无新增死亡病例。新增疑似病例1例，为境外输入病例（在上海）。　　当日新增治愈出院病例24例，解除医学观察的密切接触者1014人，重症病例与前一日持平。　　境外输入现有确诊病例504例（其中重症病例4例），现有疑似病例2例。累计确诊病例10457例，累计治愈出院病例9953例，无死亡病例。　　截至12月11日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例1323例（其中重症病例28例），累计治愈出院病例93720例，累计死亡病例4636例，累计报告确诊病例99679例，现有疑似病例2例。累计追踪到密切接触者1358671人，尚在医学观察的密切接触者49810人。　　31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者20例，其中境外输入10例，本土10例（浙江9例，其中绍兴市8例、杭州市1例；江苏1例，在无锡市）；当日转为确诊病例21例（境外输入1例）；当日解除医学观察14例（境外输入11例）；尚在医学观察的无症状感染者474例（境外输入401例）。　　累计收到港澳台地区通报确诊病例29291例。其中，香港特别行政区12483例（出院12165例，死亡213例），澳门特别行政区77例（出院77例），台湾地区16731例（出院13742例，死亡848例）。
title,content
['中国首位F1车手周冠宇，再传好消息！'],　　原标题：中国首位F1车手周冠宇，再传好消息！　　北京时间12月11日，在F2阿布扎比站冲刺赛第二回合中，中国车手周冠宇率先冲过终点获得冠军。　　此前，周冠宇分别在巴林站正赛、摩纳哥站冲刺赛第一回合以及英国站正赛夺冠，这是周冠宇本赛季获得的第四个冠军。　　微博博主热议责任编辑：刘德宾 
title,content
['冰城警方破获制售 虚假核酸检测报告案'],　　原标题：冰城警方破获制售 虚假核酸检测报告案　　看到有人急需核酸检测报告，一对夫妻铤而走险，通过制售虚假核酸检测报告非法牟利。近日，冰城警方破获全省首例制售虚假核酸检测报告案件，抓获犯罪嫌疑人两名。　　12月5日，哈尔滨市公安局刑侦支队三大队侦查员在工作中获得线索：有人冒充核酸检测机构非法出具虚假检测报告。涉疫案件无小事。刑侦支队立即组织精干警力开展侦办工作。　　警方经工作获知：受害人陈某（外省籍）在哈市乘坐出租车时，在与司机闲谈中提及急需核酸检测报告，出租车司机给了他一个电话号码，说此人能做核酸检测，而且很快就能出报告。经联系，12月4日23时许，陈某如约来到位于红旗大街与汉水路交口的龙坤花园小区楼下，看到有多人正在做核酸检测，陈某交了150元做了检测，并在3小时后接到核酸检测电子报告。后经医学检测机构鉴定，此报告系伪造。　　侦查员连夜开展工作，在确定涉嫌伪造核酸检测报告犯罪嫌疑人为李某光、李某征夫妇及其详细信息后，于12月6日下午，在龙坤花园小区其住处将二人抓获。　　经查，犯罪嫌疑人李某光系某医疗科技有限公司雇佣人员，看到有人急需核酸检测报告，即与妻子李某征商量以此牟利。他们通过出租车司机搜集想加急采集核酸获取报告的人，按照每人100至200元不等的价格收取费用，由李某光采集核酸检测样本，由李某征利用软件将正规核酸检测报告电子版更改人员信息和日期等内容后，再出具虚假的核酸检测报告。从11月1日至12月5日，非法获利近万元。　　经审，犯罪嫌疑人李某光、李某征对上述犯罪事实供认不讳。目前，哈市警方已对二人依法采取刑事强制措施，此案正在进一步侦办中。　　警方提示　　市民群众切勿非法购买、使用伪造的核酸检测报告，否则，不仅取之无用、上当受骗、面临处罚，造成严重后果，还将被依法追究刑事责任。
title,content
"['蔡英文任内8个国家与台""断交"" 马英九：恐怕只是开始']",　　原标题：蔡英文任内8个国家与台“断交” 马英九：恐怕只是开始　　 中美洲国家尼加拉瓜9日宣布与台湾“断交”，与中国大陆恢复外交关系，给台当局一记当头棒喝。台湾地区前领导人马英九就此表示，“这恐怕只是一个开始。”此前，台媒曾点名还有两个“友邦”也传出“邦谊”不稳的消息。　　尼加拉瓜外交部9日下午发表声明，宣布与台湾断绝“外交关系”，承认“只有一个中国”。至此，台当局“友邦”仅剩14个。据台湾《联合报》报道，台湾地区前领导人马英九11日被媒体问到台当局被“断交”一事时提醒，“这恐怕只是一个开始，而不是结束”。　　此前，台湾《联合报》刊文点名还有两个“友邦”也传出“邦谊”不稳的消息。报道直指，两个“邦谊”不稳的国家分别是梵蒂冈与洪都拉斯。其中，梵蒂冈“邦交不稳”的消息时有所闻，而洪都拉斯在总统大选期间，当时的反对党候选人卡斯楚曾一度表示若胜选，要与台湾“断交”。而11月28日大选结果显示，卡斯楚胜出。　　不少政界人士纷纷斥责民进党当局的失败政策。国民党“立委”陈以信说，蔡英文“执政”5年半已被8国“断交”，还退出两个国际组织。在外开再多“办事处”，参加再多论坛，都比不上这带来的伤害。国民党立法机构党团总召费鸿泰嘲讽称，在吴钊燮任内“断交”的就有6国。吴可以说是世界最了不起的“断交部长”，恐怕已创下吉尼斯世界纪录。国民党抨击，民进党至今无人为此事下台负责、“满江红”的外事成绩单令人不忍直视。　　据了解，截至目前，台当局仅剩的14个所谓“邦交国”，分别为马绍尔群岛、瑙鲁、帕劳、图瓦卢、伯利兹、危地马拉、海地、洪都拉斯、巴拉圭、圣基茨和尼维斯、圣卢西亚、圣文森特和格林纳丁斯、梵蒂冈和斯威士兰。（海外网 杨佳）　　微博博主热议责任编辑：刘德宾 
